"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"February","2022","Naphtha","1099.97","2024-01-03"
"January","2022","Naphtha","1195.74","2024-01-03"
"December","2021","Naphtha","1098.64","2024-01-03"
"November","2021","Naphtha","1065.64","2024-01-03"
"October","2021","Naphtha","1179.90","2024-01-03"
"September","2021","Naphtha","1016.12","2024-01-03"
"August","2021","Naphtha","919.81","2024-01-03"
"July","2021","Naphtha","1115.85","2024-01-03"
"June","2021","Naphtha","1087.67","2024-01-03"
"May","2021","Naphtha","1171.03","2024-01-03"
"April","2021","Naphtha","1163.63","2024-01-03"
"March","2021","Naphtha","1280.00","2024-01-03"
"February","2021","Naphtha","1217.00","2024-01-03"
"January","2021","Naphtha","1209.00","2024-01-03"
"December","2020","Naphtha","1212.00","2024-01-03"
"November","2020","Naphtha","1403.00","2024-01-03"
"October","2020","Naphtha","1346.00","2024-01-03"
"September","2020","Naphtha","1120.00","2024-01-03"
"August","2020","Naphtha","1075.00","2024-01-03"
"July","2020","Naphtha","1297.00","2024-01-03"
"June","2020","Naphtha","1218.00","2024-01-03"
"May","2020","Naphtha","993.00","2024-01-03"
"April","2020","Naphtha","730.00","2024-01-03"
"August","2023","Others","1530.86","2024-01-03"
"July","2023","Others","1067.22","2024-01-03"
"June","2023","Others","1196.64","2024-01-03"
"May","2023","Others","1237.62","2024-01-03"
"April","2023","Others","883.36","2024-01-03"
"March","2023","Others","1952.59","2024-01-03"
"February","2023","Others","1354.23","2024-01-03"
"January","2023","Others","1127.12","2024-01-03"
"December","2022","Others","1339.92","2024-01-03"
"November","2022","Others","1127.79","2024-01-03"
"October","2022","Others","1366.52","2024-01-03"
"September","2022","Others","1064.97","2024-01-03"
"August","2022","Others","1516.43","2024-01-03"
"July","2022","Others","1213.42","2024-01-03"
"June","2022","Others","1190.70","2024-01-03"
"May","2022","Others","1305.15","2024-01-03"
"April","2022","Others","1282.62","2024-01-03"
"March","2022","Others","1116.28","2024-01-03"
"February","2022","Others","992.16","2024-01-03"
"January","2022","Others","1016.71","2024-01-03"
"December","2021","Others","981.28","2024-01-03"
"November","2021","Others","1143.45","2024-01-03"
"October","2021","Others","977.79","2024-01-03"
"September","2021","Others","1281.90","2024-01-03"
"August","2021","Others","968.29","2024-01-03"
"July","2021","Others","1185.27","2024-01-03"
"June","2021","Others","866.10","2024-01-03"
"May","2021","Others","872.91","2024-01-03"
"April","2021","Others","895.02","2024-01-03"
"March","2021","Others","1186.00","2024-01-03"
"February","2021","Others","993.00","2024-01-03"
"January","2021","Others","1119.00","2024-01-03"
"December","2020","Others","1009.00","2024-01-03"
"November","2020","Others","2516.00","2024-01-03"
"October","2020","Others","937.00","2024-01-03"
"September","2020","Others","894.00","2024-01-03"
"August","2020","Others","876.00","2024-01-03"
"July","2020","Others","932.00","2024-01-03"
"June","2020","Others","880.00","2024-01-03"
"May","2020","Others","769.00","2024-01-03"
"April","2020","Others","680.00","2024-01-03"
"August","2023","Petroleum coke","1759.01","2024-01-03"
"July","2023","Petroleum coke","1659.73","2024-01-03"
"June","2023","Petroleum coke","1595.94","2024-01-03"
"May","2023","Petroleum coke","1812.42","2024-01-03"
"April","2023","Petroleum coke","1379.06","2024-01-03"
"March","2023","Petroleum coke","1960.17","2024-01-03"
"February","2023","Petroleum coke","1568.49","2024-01-03"
"January","2023","Petroleum coke","1382.12","2024-01-03"
"December","2022","Petroleum coke","1418.60","2024-01-03"
"November","2022","Petroleum coke","1514.64","2024-01-03"
"October","2022","Petroleum coke","1722.47","2024-01-03"
"September","2022","Petroleum coke","1381.87","2024-01-03"
